"","year","state","DEMOCRAT","REPUBLICAN","total"
"1",1976,"ALABAMA",659170,504070,1163240
"2",1980,"ALABAMA",636730,654192,1290922
"3",1984,"ALABAMA",551899,872849,1424748
"4",1988,"ALABAMA",549506,815576,1365082
"5",1992,"ALABAMA",690080,804283,1494363
"6",1996,"ALABAMA",662165,769044,1431209
"7",2000,"ALABAMA",692611,941173,1633784
"8",2004,"ALABAMA",693933,1176394,1870327
"9",2008,"ALABAMA",813479,1266546,2080025
"10",2012,"ALABAMA",795696,1255925,2051621
"11",2016,"ALABAMA",729547,1318255,2047802
"12",2020,"ALABAMA",849624,1441170,2290794
"13",1976,"ALASKA",44058,71555,115613
"14",1980,"ALASKA",41842,86112,127954
"15",1984,"ALASKA",62007,138377,200384
"16",1988,"ALASKA",72584,119251,191835
"17",1992,"ALASKA",78294,102000,180294
"18",1996,"ALASKA",80380,122746,203126
"19",2000,"ALASKA",79004,167398,246402
"20",2004,"ALASKA",111025,190889,301914
"21",2008,"ALASKA",123594,193841,317435
"22",2012,"ALASKA",122640,164676,287316
"23",2016,"ALASKA",116454,163387,279841
"24",2020,"ALASKA",153778,189951,343729
"25",1976,"ARIZONA",295602,418642,714244
"26",1980,"ARIZONA",246843,529688,776531
"27",1984,"ARIZONA",333854,681416,1015270
"28",1988,"ARIZONA",454029,702541,1156570
"29",1992,"ARIZONA",543050,572086,1115136
"30",1996,"ARIZONA",653288,622073,1275361
"31",2000,"ARIZONA",685341,781652,1466993
"32",2004,"ARIZONA",893524,1104294,1997818
"33",2008,"ARIZONA",1034707,1230111,2264818
"34",2012,"ARIZONA",1025232,1233654,2258886
"35",2016,"ARIZONA",1161209,1252401,2413610
"36",2020,"ARIZONA",1672143,1661686,3333829
"37",1976,"ARKANSAS",498604,267903,766507
"38",1980,"ARKANSAS",398041,403164,801205
"39",1984,"ARKANSAS",338646,534774,873420
"40",1988,"ARKANSAS",349237,466578,815815
"41",1992,"ARKANSAS",505823,337324,843147
"42",1996,"ARKANSAS",475171,325416,800587
"43",2000,"ARKANSAS",422768,472940,895708
"44",2004,"ARKANSAS",469953,572898,1042851
"45",2008,"ARKANSAS",422310,638017,1060327
"46",2012,"ARKANSAS",394409,647744,1042153
"47",2016,"ARKANSAS",380494,684872,1065366
"48",2020,"ARKANSAS",423932,760647,1184579
"49",1976,"CALIFORNIA",3742284,3882244,7624528
"50",1980,"CALIFORNIA",3082943,4522994,7605937
"51",1984,"CALIFORNIA",3922519,5467009,9389528
"52",1988,"CALIFORNIA",4702233,5054917,9757150
"53",1992,"CALIFORNIA",5121325,3630574,8751899
"54",1996,"CALIFORNIA",5119835,3828381,8948216
"55",2000,"CALIFORNIA",5861203,4567429,10428632
"56",2004,"CALIFORNIA",6745485,5509826,12255311
"57",2008,"CALIFORNIA",8274473,5011781,13286254
"58",2012,"CALIFORNIA",7854285,4839958,12694243
"59",2016,"CALIFORNIA",8753788,4483810,13237598
"60",2020,"CALIFORNIA",11110250,6006429,17116679
"61",1976,"COLORADO",460801,584278,1045079
"62",1980,"COLORADO",368009,652264,1020273
"63",1984,"COLORADO",454975,821817,1276792
"64",1988,"COLORADO",621453,728177,1349630
"65",1992,"COLORADO",629681,562850,1192531
"66",1996,"COLORADO",671152,691848,1363000
"67",2000,"COLORADO",738227,883748,1621975
"68",2004,"COLORADO",1001732,1101255,2102987
"69",2008,"COLORADO",1288576,1073589,2362165
"70",2012,"COLORADO",1323101,1185243,2508344
"71",2016,"COLORADO",1338870,1202484,2541354
"72",2020,"COLORADO",1804352,1364607,3168959
"73",1976,"CONNECTICUT",647895,719261,1367156
"74",1980,"CONNECTICUT",541732,677210,1218942
"75",1984,"CONNECTICUT",569597,890877,1460474
"76",1988,"CONNECTICUT",676584,750241,1426825
"77",1992,"CONNECTICUT",682318,578313,1260631
"78",1996,"CONNECTICUT",735740,483109,1218849
"79",2000,"CONNECTICUT",816015,561094,1377109
"80",2004,"CONNECTICUT",857488,693826,1551314
"81",2008,"CONNECTICUT",997772,629428,1627200
"82",2012,"CONNECTICUT",905083,634892,1539975
"83",2016,"CONNECTICUT",897572,673215,1570787
"84",2020,"CONNECTICUT",1080831,714717,1795548
"85",1976,"DELAWARE",122461,109780,232241
"86",1980,"DELAWARE",105754,111252,217006
"87",1984,"DELAWARE",101656,152190,253846
"88",1988,"DELAWARE",108647,139639,248286
"89",1992,"DELAWARE",126054,102313,228367
"90",1996,"DELAWARE",140355,99062,239417
"91",2000,"DELAWARE",180068,137288,317356
"92",2004,"DELAWARE",200152,171660,371812
"93",2008,"DELAWARE",255459,152374,407833
"94",2012,"DELAWARE",242584,165484,408068
"95",2016,"DELAWARE",235603,185127,420730
"96",2020,"DELAWARE",296268,200603,496871
"97",1976,"DISTRICT OF COLUMBIA",137818,27873,165691
"98",1980,"DISTRICT OF COLUMBIA",130231,23313,153544
"99",1984,"DISTRICT OF COLUMBIA",180408,29009,209417
"100",1988,"DISTRICT OF COLUMBIA",159407,27590,186997
"101",1992,"DISTRICT OF COLUMBIA",192619,20698,213317
"102",1996,"DISTRICT OF COLUMBIA",158220,17339,175559
"103",2000,"DISTRICT OF COLUMBIA",171923,18073,189996
"104",2004,"DISTRICT OF COLUMBIA",202970,21256,224226
"105",2008,"DISTRICT OF COLUMBIA",245800,17367,263167
"106",2012,"DISTRICT OF COLUMBIA",267070,21381,288451
"107",2016,"DISTRICT OF COLUMBIA",282830,12723,295553
"108",2020,"DISTRICT OF COLUMBIA",317323,18586,335909
"109",1976,"FLORIDA",1636000,1469531,3105531
"110",1980,"FLORIDA",1419475,2046951,3466426
"111",1984,"FLORIDA",1448816,2730350,4179166
"112",1988,"FLORIDA",1656701,2618885,4275586
"113",1992,"FLORIDA",2071698,2173310,4245008
"114",1996,"FLORIDA",2546870,2244536,4791406
"115",2000,"FLORIDA",2912253,2912790,5825043
"116",2004,"FLORIDA",3583544,3964522,7548066
"117",2008,"FLORIDA",4282074,4045624,8327698
"118",2012,"FLORIDA",4237756,4163447,8401203
"119",2016,"FLORIDA",4504975,4617886,9122861
"120",2020,"FLORIDA",5297045,5668731,10965776
"121",1976,"GEORGIA",979409,483743,1463152
"122",1980,"GEORGIA",890955,654168,1545123
"123",1984,"GEORGIA",706628,1068722,1775350
"124",1988,"GEORGIA",714792,1081331,1796123
"125",1992,"GEORGIA",1008966,995252,2004218
"126",1996,"GEORGIA",1053849,1080843,2134692
"127",2000,"GEORGIA",1116230,1419720,2535950
"128",2004,"GEORGIA",1366149,1914254,3280403
"129",2008,"GEORGIA",1844123,2048759,3892882
"130",2012,"GEORGIA",1773827,2078688,3852515
"131",2016,"GEORGIA",1877963,2089104,3967067
"132",2020,"GEORGIA",2473633,2461854,4935487
"133",1976,"HAWAII",147375,140003,287378
"134",1980,"HAWAII",135879,130112,265991
"135",1984,"HAWAII",147154,185050,332204
"136",1988,"HAWAII",192364,158625,350989
"137",1992,"HAWAII",179310,136822,316132
"138",1996,"HAWAII",205012,113943,318955
"139",2000,"HAWAII",205286,137845,343131
"140",2004,"HAWAII",231708,194191,425899
"141",2008,"HAWAII",325871,120566,446437
"142",2012,"HAWAII",306658,121015,427673
"143",2016,"HAWAII",266891,128847,395738
"144",2020,"HAWAII",366130,196864,562994
"145",1976,"IDAHO",126549,204151,330700
"146",1980,"IDAHO",110192,290699,400891
"147",1984,"IDAHO",108510,297523,406033
"148",1988,"IDAHO",147272,253881,401153
"149",1992,"IDAHO",137013,202645,339658
"150",1996,"IDAHO",165443,256595,422038
"151",2000,"IDAHO",138637,336937,475574
"152",2004,"IDAHO",181098,409235,590333
"153",2008,"IDAHO",236440,403012,639452
"154",2012,"IDAHO",212787,420911,633698
"155",2016,"IDAHO",189765,409055,598820
"156",2020,"IDAHO",287021,554119,841140
"157",1976,"ILLINOIS",2271295,2364269,4635564
"158",1980,"ILLINOIS",1981413,2358049,4339462
"159",1984,"ILLINOIS",2086499,2707103,4793602
"160",1988,"ILLINOIS",2215940,2310939,4526879
"161",1992,"ILLINOIS",2453350,1734096,4187446
"162",1996,"ILLINOIS",2341744,1587021,3928765
"163",2000,"ILLINOIS",2589026,2019421,4608447
"164",2004,"ILLINOIS",2891550,2345946,5237496
"165",2008,"ILLINOIS",3419348,2031179,5450527
"166",2012,"ILLINOIS",3019512,2135216,5154728
"167",2016,"ILLINOIS",3090729,2146015,5236744
"168",2020,"ILLINOIS",3471915,2446891,5918806
"169",1976,"INDIANA",1014714,1183958,2198672
"170",1980,"INDIANA",844197,1255656,2099853
"171",1984,"INDIANA",841481,1377230,2218711
"172",1988,"INDIANA",860643,1297763,2158406
"173",1992,"INDIANA",848420,989375,1837795
"174",1996,"INDIANA",887424,1006693,1894117
"175",2000,"INDIANA",901980,1245836,2147816
"176",2004,"INDIANA",969011,1479438,2448449
"177",2008,"INDIANA",1374039,1345648,2719687
"178",2012,"INDIANA",1152887,1420543,2573430
"179",2016,"INDIANA",1033126,1557286,2590412
"180",2020,"INDIANA",1242416,1729519,2971935
"181",1976,"IOWA",619931,632864,1252795
"182",1980,"IOWA",508672,676026,1184698
"183",1984,"IOWA",605620,703088,1308708
"184",1988,"IOWA",670557,545355,1215912
"185",1992,"IOWA",586353,504891,1091244
"186",1996,"IOWA",620258,492644,1112902
"187",2000,"IOWA",638517,634373,1272890
"188",2004,"IOWA",741898,751957,1493855
"189",2008,"IOWA",828940,682379,1511319
"190",2012,"IOWA",822544,730617,1553161
"191",2016,"IOWA",653669,800983,1454652
"192",2020,"IOWA",759061,897672,1656733
"193",1976,"KANSAS",430421,502752,933173
"194",1980,"KANSAS",326150,566812,892962
"195",1984,"KANSAS",333149,677296,1010445
"196",1988,"KANSAS",422636,554049,976685
"197",1992,"KANSAS",390434,449951,840385
"198",1996,"KANSAS",387659,583245,970904
"199",2000,"KANSAS",399276,622332,1021608
"200",2004,"KANSAS",434993,736456,1171449
"201",2008,"KANSAS",514765,699655,1214420
"202",2012,"KANSAS",440726,692634,1133360
"203",2016,"KANSAS",427005,671018,1098023
"204",2020,"KANSAS",570323,771406,1341729
"205",1976,"KENTUCKY",615717,531852,1147569
"206",1980,"KENTUCKY",617417,635274,1252691
"207",1984,"KENTUCKY",539539,821702,1361241
"208",1988,"KENTUCKY",580368,734281,1314649
"209",1992,"KENTUCKY",665104,617178,1282282
"210",1996,"KENTUCKY",636614,623283,1259897
"211",2000,"KENTUCKY",638923,872520,1511443
"212",2004,"KENTUCKY",712733,1069439,1782172
"213",2008,"KENTUCKY",751985,1048462,1800447
"214",2012,"KENTUCKY",679370,1087190,1766560
"215",2016,"KENTUCKY",628854,1202971,1831825
"216",2020,"KENTUCKY",772474,1326646,2099120
"217",1976,"LOUISIANA",661365,587446,1248811
"218",1980,"LOUISIANA",708453,792853,1501306
"219",1984,"LOUISIANA",651586,1037299,1688885
"220",1988,"LOUISIANA",717460,883702,1601162
"221",1992,"LOUISIANA",815971,733386,1549357
"222",1996,"LOUISIANA",927837,712586,1640423
"223",2000,"LOUISIANA",792344,927871,1720215
"224",2004,"LOUISIANA",820299,1102169,1922468
"225",2008,"LOUISIANA",782989,1148275,1931264
"226",2012,"LOUISIANA",809141,1152262,1961403
"227",2016,"LOUISIANA",780154,1178638,1958792
"228",2020,"LOUISIANA",856034,1255776,2111810
"229",1976,"MAINE",232279,236320,468599
"230",1980,"MAINE",220974,238522,459496
"231",1984,"MAINE",214515,336500,551015
"232",1988,"MAINE",243569,307131,550700
"233",1992,"MAINE",263420,206504,469924
"234",1996,"MAINE",312788,186378,499166
"235",2000,"MAINE",319951,286616,606567
"236",2004,"MAINE",396842,330201,727043
"237",2008,"MAINE",421923,295273,717196
"238",2012,"MAINE",401306,292276,693582
"239",2016,"MAINE",357735,335593,693328
"240",2020,"MAINE",435072,360737,795809
"241",1976,"MARYLAND",759612,672661,1432273
"242",1980,"MARYLAND",726161,680606,1406767
"243",1984,"MARYLAND",787935,879918,1667853
"244",1988,"MARYLAND",826304,876167,1702471
"245",1992,"MARYLAND",988571,707094,1695665
"246",1996,"MARYLAND",966207,681530,1647737
"247",2000,"MARYLAND",1144008,813827,1957835
"248",2004,"MARYLAND",1334500,1024703,2359203
"249",2008,"MARYLAND",1629467,959862,2589329
"250",2012,"MARYLAND",1677844,971869,2649713
"251",2016,"MARYLAND",1678006,943428,2621434
"252",2020,"MARYLAND",1985023,976414,2961437
"253",1976,"MASSACHUSETTS",1429475,1030276,2459751
"254",1980,"MASSACHUSETTS",1053802,1057631,2111433
"255",1984,"MASSACHUSETTS",1239606,1310936,2550542
"256",1988,"MASSACHUSETTS",1401415,1194635,2596050
"257",1992,"MASSACHUSETTS",1318639,805039,2123678
"258",1996,"MASSACHUSETTS",1571509,718058,2289567
"259",2000,"MASSACHUSETTS",1616487,878502,2494989
"260",2004,"MASSACHUSETTS",1803800,1071109,2874909
"261",2008,"MASSACHUSETTS",1904097,1108854,3012951
"262",2012,"MASSACHUSETTS",1921290,1188314,3109604
"263",2016,"MASSACHUSETTS",1995196,1090893,3086089
"264",2020,"MASSACHUSETTS",2382202,1167202,3549404
"265",1976,"MICHIGAN",1696714,1893742,3590456
"266",1980,"MICHIGAN",1661532,1915225,3576757
"267",1984,"MICHIGAN",1529638,2251571,3781209
"268",1988,"MICHIGAN",1675783,1965486,3641269
"269",1992,"MICHIGAN",1871182,1554940,3426122
"270",1996,"MICHIGAN",1989653,1481212,3470865
"271",2000,"MICHIGAN",2170418,1953139,4123557
"272",2004,"MICHIGAN",2479183,2313746,4792929
"273",2008,"MICHIGAN",2872579,2048639,4921218
"274",2012,"MICHIGAN",2564569,2115256,4679825
"275",2016,"MICHIGAN",2268839,2279543,4548382
"276",2020,"MICHIGAN",2804040,2649852,5453892
"277",1976,"MINNESOTA",1070440,819395,1889835
"278",1980,"MINNESOTA",954173,873268,1827441
"279",1984,"MINNESOTA",1036364,1032603,2068967
"280",1988,"MINNESOTA",1109471,962337,2071808
"281",1992,"MINNESOTA",1020997,747841,1768838
"282",1996,"MINNESOTA",1120380,766395,1886775
"283",2000,"MINNESOTA",1168266,1109659,2277925
"284",2004,"MINNESOTA",1445014,1346695,2791709
"285",2008,"MINNESOTA",1573354,1275409,2848763
"286",2012,"MINNESOTA",1546167,1320225,2866392
"287",2016,"MINNESOTA",1367705,1322949,2690654
"288",2020,"MINNESOTA",1717077,1484065,3201142
"289",1976,"MISSISSIPPI",381329,366846,748175
"290",1980,"MISSISSIPPI",429281,441089,870370
"291",1984,"MISSISSIPPI",352192,582377,934569
"292",1988,"MISSISSIPPI",363921,557890,921811
"293",1992,"MISSISSIPPI",400258,487793,888051
"294",1996,"MISSISSIPPI",394022,439838,833860
"295",2000,"MISSISSIPPI",404614,572844,977458
"296",2004,"MISSISSIPPI",457766,672660,1130426
"297",2008,"MISSISSIPPI",554662,724597,1279259
"298",2012,"MISSISSIPPI",562949,710746,1273695
"299",2016,"MISSISSIPPI",485131,700714,1185845
"300",2020,"MISSISSIPPI",539398,756764,1296162
"301",1976,"MISSOURI",998387,927443,1925830
"302",1980,"MISSOURI",931182,1074181,2005363
"303",1984,"MISSOURI",848583,1274188,2122771
"304",1988,"MISSOURI",1001619,1084953,2086572
"305",1992,"MISSOURI",1053873,811159,1865032
"306",1996,"MISSOURI",1025935,890016,1915951
"307",2000,"MISSOURI",1111138,1189924,2301062
"308",2004,"MISSOURI",1259171,1455713,2714884
