station,date,wind_speed,precip,snow_fall,snow_depth,temp_max,temp_min
"NY CITY CENTRAL PARK, NY US",2022-01-01,3.13,0.79,0,0,56,50
"NY CITY CENTRAL PARK, NY US",2022-01-02,5.82,0.04,0,0,59,37
"NY CITY CENTRAL PARK, NY US",2022-01-03,9.84,0,0,0,37,22
"NY CITY CENTRAL PARK, NY US",2022-01-04,6.04,0,0,0,34,19
"NY CITY CENTRAL PARK, NY US",2022-01-05,5.59,0.23,0,0,47,31
"NY CITY CENTRAL PARK, NY US",2022-01-06,6.49,0,0,0,41,34
"NY CITY CENTRAL PARK, NY US",2022-01-07,8.72,0.38,5.8,5.9,34,25
"NY CITY CENTRAL PARK, NY US",2022-01-08,6.04,0,0,3.1,30,20
"NY CITY CENTRAL PARK, NY US",2022-01-09,8.5,0.1,0,3.1,40,29
"NY CITY CENTRAL PARK, NY US",2022-01-10,8.5,0,0,0,40,24
"NY CITY CENTRAL PARK, NY US",2022-01-11,7.38,0,0,0,24,15
"NY CITY CENTRAL PARK, NY US",2022-01-12,6.04,0,0,0,40,20
"NY CITY CENTRAL PARK, NY US",2022-01-13,3.13,0,0,0,48,34
"NY CITY CENTRAL PARK, NY US",2022-01-14,8.28,0,0,0,43,21
"NY CITY CENTRAL PARK, NY US",2022-01-15,7.16,0,0,0,21,10
"NY CITY CENTRAL PARK, NY US",2022-01-16,8.5,0.37,0.8,0,37,10
"NY CITY CENTRAL PARK, NY US",2022-01-17,10.07,1.16,0,0,44,34
"NY CITY CENTRAL PARK, NY US",2022-01-18,9.17,0,0,0,36,29
"NY CITY CENTRAL PARK, NY US",2022-01-19,6.71,0,0,0,49,28
"NY CITY CENTRAL PARK, NY US",2022-01-20,6.71,0.3,0,0,46,22
"NY CITY CENTRAL PARK, NY US",2022-01-21,7.83,0,0,0,22,14
"NY CITY CENTRAL PARK, NY US",2022-01-22,5.59,0,0,0,29,13
"NY CITY CENTRAL PARK, NY US",2022-01-23,5.37,0.02,0.2,0,37,24
"NY CITY CENTRAL PARK, NY US",2022-01-24,4.25,0,0,0,36,26
"NY CITY CENTRAL PARK, NY US",2022-01-25,5.82,0,0,0,42,28
"NY CITY CENTRAL PARK, NY US",2022-01-26,6.26,0,0,0,28,20
"NY CITY CENTRAL PARK, NY US",2022-01-27,5.37,0,0,0,32,17
"NY CITY CENTRAL PARK, NY US",2022-01-28,4.7,0.13,1.2,0,32,29
"NY CITY CENTRAL PARK, NY US",2022-01-29,12.53,0.77,7.3,5.9,29,12
"NY CITY CENTRAL PARK, NY US",2022-01-30,6.93,0,0,7.1,26,12
"NY CITY CENTRAL PARK, NY US",2022-01-31,3.8,0,0,5.9,31,21
"NY CITY CENTRAL PARK, NY US",2022-02-01,5.14,0,0,5.9,36,23
"NY CITY CENTRAL PARK, NY US",2022-02-02,2.91,0,0,3.9,47,32
"NY CITY CENTRAL PARK, NY US",2022-02-03,3.8,0.42,0,2,52,42
"NY CITY CENTRAL PARK, NY US",2022-02-04,6.71,0.72,0,0,57,26
"NY CITY CENTRAL PARK, NY US",2022-02-05,8.72,0,0,0,27,19
"NY CITY CENTRAL PARK, NY US",2022-02-06,4.7,0,0,0,30,17
"NY CITY CENTRAL PARK, NY US",2022-02-07,3.58,0.15,0,0,37,30
"NY CITY CENTRAL PARK, NY US",2022-02-08,6.71,0.07,0,0,45,32
"NY CITY CENTRAL PARK, NY US",2022-02-09,4.03,0,0,0,46,29
"NY CITY CENTRAL PARK, NY US",2022-02-10,5.14,0,0,0,54,37
"NY CITY CENTRAL PARK, NY US",2022-02-11,5.14,0,0,0,57,38
"NY CITY CENTRAL PARK, NY US",2022-02-12,7.61,0,0,0,59,42
"NY CITY CENTRAL PARK, NY US",2022-02-13,6.71,0.23,1.6,1.2,42,25
"NY CITY CENTRAL PARK, NY US",2022-02-14,8.72,0,0,1.2,25,16
"NY CITY CENTRAL PARK, NY US",2022-02-15,4.92,0,0,0,30,16
"NY CITY CENTRAL PARK, NY US",2022-02-16,5.82,0,0,0,49,28
"NY CITY CENTRAL PARK, NY US",2022-02-17,7.38,0.31,0,0,68,49
"NY CITY CENTRAL PARK, NY US",2022-02-18,9.62,0.33,0,0,63,27
"NY CITY CENTRAL PARK, NY US",2022-02-19,8.28,0,0,0,40,23
"NY CITY CENTRAL PARK, NY US",2022-02-20,7.61,0,0,0,36,21
"NY CITY CENTRAL PARK, NY US",2022-02-21,4.47,0,0,0,55,32
"NY CITY CENTRAL PARK, NY US",2022-02-22,6.04,0.26,0,0,61,37
"NY CITY CENTRAL PARK, NY US",2022-02-23,8.28,0,0,0,68,35
"NY CITY CENTRAL PARK, NY US",2022-02-24,7.61,0,0,0,35,29
"NY CITY CENTRAL PARK, NY US",2022-02-25,8.28,0.74,0.4,0,41,26
"NY CITY CENTRAL PARK, NY US",2022-02-26,7.16,0,0,0,37,24
"NY CITY CENTRAL PARK, NY US",2022-02-27,9.62,0,0,0,48,28
"NY CITY CENTRAL PARK, NY US",2022-02-28,5.82,0,0,0,36,26
"NY CITY CENTRAL PARK, NY US",2022-03-01,5.82,0,0,0,48,31
"NY CITY CENTRAL PARK, NY US",2022-03-02,5.37,0,0,0,52,40
"NY CITY CENTRAL PARK, NY US",2022-03-03,9.62,0.03,0,0,48,24
"NY CITY CENTRAL PARK, NY US",2022-03-04,5.37,0,0,0,37,21
"NY CITY CENTRAL PARK, NY US",2022-03-05,3.58,0,0,0,46,32
"NY CITY CENTRAL PARK, NY US",2022-03-06,5.37,0.06,0,0,68,43
"NY CITY CENTRAL PARK, NY US",2022-03-07,7.38,0.03,0,0,74,50
"NY CITY CENTRAL PARK, NY US",2022-03-08,9.17,0,0,0,50,39
"NY CITY CENTRAL PARK, NY US",2022-03-09,5.82,0.56,0.4,0,41,33
"NY CITY CENTRAL PARK, NY US",2022-03-10,1.79,0,0,0,51,33
"NY CITY CENTRAL PARK, NY US",2022-03-11,4.47,0,0,0,55,40
"NY CITY CENTRAL PARK, NY US",2022-03-12,9.84,0.5,0,0,48,24
"NY CITY CENTRAL PARK, NY US",2022-03-13,8.95,0,0,0,35,22
"NY CITY CENTRAL PARK, NY US",2022-03-14,5.59,0,0,0,56,33
"NY CITY CENTRAL PARK, NY US",2022-03-15,4.92,0,0,0,68,46
"NY CITY CENTRAL PARK, NY US",2022-03-16,4.47,0,0,0,67,48
"NY CITY CENTRAL PARK, NY US",2022-03-17,5.59,0.08,0,0,53,45
"NY CITY CENTRAL PARK, NY US",2022-03-18,4.92,0,0,0,74,50
"NY CITY CENTRAL PARK, NY US",2022-03-19,2.68,0.05,0,0,70,49
"NY CITY CENTRAL PARK, NY US",2022-03-20,8.05,0,0,0,61,46
"NY CITY CENTRAL PARK, NY US",2022-03-21,8.05,0,0,0,62,44
"NY CITY CENTRAL PARK, NY US",2022-03-22,7.38,0,0,0,58,43
"NY CITY CENTRAL PARK, NY US",2022-03-23,7.61,0.06,0,0,49,38
"NY CITY CENTRAL PARK, NY US",2022-03-24,11.41,0.93,0,0,47,38
"NY CITY CENTRAL PARK, NY US",2022-03-25,4.25,0.02,0,0,60,44
"NY CITY CENTRAL PARK, NY US",2022-03-26,6.04,0,0,0,53,42
"NY CITY CENTRAL PARK, NY US",2022-03-27,10.51,0,0,0,46,28
"NY CITY CENTRAL PARK, NY US",2022-03-28,12.3,0,0,0,33,23
"NY CITY CENTRAL PARK, NY US",2022-03-29,10.51,0,0,0,38,24
"NY CITY CENTRAL PARK, NY US",2022-03-30,4.7,0,0,0,47,29
"NY CITY CENTRAL PARK, NY US",2022-03-31,4.92,0.07,0,0,66,45
"NY CITY CENTRAL PARK, NY US",2022-04-01,8.72,0.28,0,0,61,43
"NY CITY CENTRAL PARK, NY US",2022-04-02,6.26,0,0,0,54,38
"NY CITY CENTRAL PARK, NY US",2022-04-03,4.03,0.12,0,0,48,40
"NY CITY CENTRAL PARK, NY US",2022-04-04,6.71,0,0,0,54,39
"NY CITY CENTRAL PARK, NY US",2022-04-05,3.36,0.04,0,0,57,45
"NY CITY CENTRAL PARK, NY US",2022-04-06,10.74,0.45,0,0,53,44
"NY CITY CENTRAL PARK, NY US",2022-04-07,7.38,1.12,0,0,54,45
"NY CITY CENTRAL PARK, NY US",2022-04-08,6.71,0.03,0,0,65,49
"NY CITY CENTRAL PARK, NY US",2022-04-09,4.92,0.05,0,0,55,47
"NY CITY CENTRAL PARK, NY US",2022-04-10,9.62,0,0,0,50,42
"NY CITY CENTRAL PARK, NY US",2022-04-11,4.92,0,0,0,61,40
"NY CITY CENTRAL PARK, NY US",2022-04-12,3.8,0.07,0,0,72,50
"NY CITY CENTRAL PARK, NY US",2022-04-13,3.8,0,0,0,71,55
"NY CITY CENTRAL PARK, NY US",2022-04-14,4.7,0.06,0,0,79,57
"NY CITY CENTRAL PARK, NY US",2022-04-15,5.82,0,0,0,70,52
"NY CITY CENTRAL PARK, NY US",2022-04-16,6.26,0.2,0,0,73,44
"NY CITY CENTRAL PARK, NY US",2022-04-17,6.93,0,0,0,51,41
"NY CITY CENTRAL PARK, NY US",2022-04-18,7.61,0.85,0,0,54,39
"NY CITY CENTRAL PARK, NY US",2022-04-19,10.51,1.24,0,0,50,39
"NY CITY CENTRAL PARK, NY US",2022-04-20,6.26,0,0,0,60,42
"NY CITY CENTRAL PARK, NY US",2022-04-21,6.04,0,0,0,59,44
"NY CITY CENTRAL PARK, NY US",2022-04-22,6.26,0,0,0,70,53
"NY CITY CENTRAL PARK, NY US",2022-04-23,5.14,0,0,0,65,51
"NY CITY CENTRAL PARK, NY US",2022-04-24,5.37,0,0,0,63,48
"NY CITY CENTRAL PARK, NY US",2022-04-25,4.92,0,0,0,58,46
"NY CITY CENTRAL PARK, NY US",2022-04-26,3.36,0.02,0,0,60,52
"NY CITY CENTRAL PARK, NY US",2022-04-27,10.51,0,0,0,58,41
"NY CITY CENTRAL PARK, NY US",2022-04-28,10.29,0,0,0,58,40
"NY CITY CENTRAL PARK, NY US",2022-04-29,7.83,0,0,0,63,41
"NY CITY CENTRAL PARK, NY US",2022-04-30,2.91,0,0,0,68,44
"NY CITY CENTRAL PARK, NY US",2022-05-01,3.13,0,0,0,69,47
"NY CITY CENTRAL PARK, NY US",2022-05-02,4.7,0.23,0,0,56,51
"NY CITY CENTRAL PARK, NY US",2022-05-03,5.82,0,0,0,62,51
"NY CITY CENTRAL PARK, NY US",2022-05-04,2.46,0.08,0,0,65,50
"NY CITY CENTRAL PARK, NY US",2022-05-05,4.25,0,0,0,74,56
"NY CITY CENTRAL PARK, NY US",2022-05-06,3.58,0.69,0,0,61,49
"NY CITY CENTRAL PARK, NY US",2022-05-07,10.96,0.92,0,0,50,45
"NY CITY CENTRAL PARK, NY US",2022-05-08,11.18,0,0,0,58,45
"NY CITY CENTRAL PARK, NY US",2022-05-09,11.41,0,0,0,70,47
"NY CITY CENTRAL PARK, NY US",2022-05-10,10.07,0,0,0,73,51
"NY CITY CENTRAL PARK, NY US",2022-05-11,5.59,0,0,0,75,53
"NY CITY CENTRAL PARK, NY US",2022-05-12,4.92,0,0,0,75,58
"NY CITY CENTRAL PARK, NY US",2022-05-13,4.25,0.03,0,0,72,57
"NY CITY CENTRAL PARK, NY US",2022-05-14,2.91,0.22,0,0,72,60
"NY CITY CENTRAL PARK, NY US",2022-05-15,2.24,0.1,0,0,76,60
"NY CITY CENTRAL PARK, NY US",2022-05-16,4.92,0.12,0,0,75,61
"NY CITY CENTRAL PARK, NY US",2022-05-17,6.93,0,0,0,77,57
"NY CITY CENTRAL PARK, NY US",2022-05-18,4.03,0.01,0,0,72,55
"NY CITY CENTRAL PARK, NY US",2022-05-19,2.46,0.73,0,0,66,54
"NY CITY CENTRAL PARK, NY US",2022-05-20,3.58,0.4,0,0,69,55
"NY CITY CENTRAL PARK, NY US",2022-05-21,1.57,0,0,0,90,62
"NY CITY CENTRAL PARK, NY US",2022-05-22,4.03,0,0,0,89,72
"NY CITY CENTRAL PARK, NY US",2022-05-23,6.71,0,0,0,73,61
"NY CITY CENTRAL PARK, NY US",2022-05-24,4.7,0,0,0,67,57
"NY CITY CENTRAL PARK, NY US",2022-05-25,2.91,0,0,0,70,53
"NY CITY CENTRAL PARK, NY US",2022-05-26,3.58,0,0,0,70,54
"NY CITY CENTRAL PARK, NY US",2022-05-27,2.91,0.27,0,0,80,65
"NY CITY CENTRAL PARK, NY US",2022-05-28,3.36,0.72,0,0,74,63
"NY CITY CENTRAL PARK, NY US",2022-05-29,1.79,0,0,0,77,59
"NY CITY CENTRAL PARK, NY US",2022-05-30,2.91,0,0,0,84,63
"NY CITY CENTRAL PARK, NY US",2022-05-31,4.92,0,0,0,93,65
"NY CITY CENTRAL PARK, NY US",2022-06-01,6.49,0.71,0,0,72,60
"NY CITY CENTRAL PARK, NY US",2022-06-02,3.13,0.45,0,0,79,62
"NY CITY CENTRAL PARK, NY US",2022-06-03,3.58,0,0,0,76,62
"NY CITY CENTRAL PARK, NY US",2022-06-04,2.24,0,0,0,80,61
"NY CITY CENTRAL PARK, NY US",2022-06-05,3.58,0,0,0,77,57
"NY CITY CENTRAL PARK, NY US",2022-06-06,4.25,0,0,0,80,63
"NY CITY CENTRAL PARK, NY US",2022-06-07,5.59,0.08,0,0,78,63
"NY CITY CENTRAL PARK, NY US",2022-06-08,4.47,0.03,0,0,82,66
"NY CITY CENTRAL PARK, NY US",2022-06-09,6.71,0.83,0,0,81,65
"NY CITY CENTRAL PARK, NY US",2022-06-10,5.59,0,0,0,77,63
"NY CITY CENTRAL PARK, NY US",2022-06-11,3.13,0,0,0,74,66
"NY CITY CENTRAL PARK, NY US",2022-06-12,2.68,0.05,0,0,72,63
"NY CITY CENTRAL PARK, NY US",2022-06-13,2.46,0,0,0,85,68
"NY CITY CENTRAL PARK, NY US",2022-06-14,4.25,0,0,0,81,68
"NY CITY CENTRAL PARK, NY US",2022-06-15,3.58,0,0,0,83,66
"NY CITY CENTRAL PARK, NY US",2022-06-16,3.36,0.32,0,0,71,61
"NY CITY CENTRAL PARK, NY US",2022-06-17,6.26,0,0,0,88,69
"NY CITY CENTRAL PARK, NY US",2022-06-18,8.72,0,0,0,75,58
"NY CITY CENTRAL PARK, NY US",2022-06-19,6.93,0,0,0,73,54
"NY CITY CENTRAL PARK, NY US",2022-06-20,3.58,0,0,0,78,57
"NY CITY CENTRAL PARK, NY US",2022-06-21,2.46,0.06,0,0,80,63
"NY CITY CENTRAL PARK, NY US",2022-06-22,4.92,0.02,0,0,67,62
"NY CITY CENTRAL PARK, NY US",2022-06-23,3.13,0.08,0,0,74,61
"NY CITY CENTRAL PARK, NY US",2022-06-24,2.91,0,0,0,81,63
"NY CITY CENTRAL PARK, NY US",2022-06-25,2.24,0,0,0,90,69
"NY CITY CENTRAL PARK, NY US",2022-06-26,3.58,0,0,0,89,74
"NY CITY CENTRAL PARK, NY US",2022-06-27,2.91,0.29,0,0,77,69
"NY CITY CENTRAL PARK, NY US",2022-06-28,2.46,0,0,0,79,66
"NY CITY CENTRAL PARK, NY US",2022-06-29,2.01,0,0,0,84,66
"NY CITY CENTRAL PARK, NY US",2022-06-30,2.91,0,0,0,86,69
